"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"Genesis","Genesis","GEN 30","GEN 30","GEN 30","UNIT","GEN_30","","1,540017405","02/03/2026","96841,9"
"Genesis","Genesis","GEN 31","GEN 31","GEN 31","UNIT","GEN_31","","1,491935324","02/03/2026","100781,8"
"Genesis","Genesis","GEN 32","GEN 32","GEN 32","UNIT","GEN_32","","1,876989346","02/03/2026","134981,9"
"Genesis","Genesis","GEN 33","GEN 33","GEN 33","UNIT","GEN_33","","1,957258606","02/03/2026","85620,5"
"Genesis","Genesis","GEN 34","GEN 34","GEN 34","UNIT","GEN_34","","1,524122502","02/03/2026","99157,1"
"Genesis","Genesis","GEN 35","GEN 35","GEN 35","UNIT","GEN_35","","2,10150485","02/03/2026","158697"
"Genesis","Genesis","GEN 36","GEN 36","GEN 36","UNIT","GEN_36","","1,026810727","02/03/2026","56867,3"
"Genesis","Genesis","GEN 37","GEN 37","GEN 37","UNIT","GEN_37","","1,540017405","02/03/2026","108107,6"
"Genesis","Genesis","GEN 38","GEN 38","GEN 38","UNIT","GEN_38","","1,572204583","02/03/2026","100250,7"
"Genesis","Genesis","GEN 39","GEN 39","GEN 39","UNIT","GEN_39","","1,459946832","02/03/2026","94802,7"
"Genesis","Genesis","GEN 40","GEN 40","GEN 40","UNIT","GEN_40","","1,540017405","02/03/2026","99695,4"
"Genesis","Genesis","GEN 41","GEN 41","GEN 41","UNIT","GEN_41","","1,540017405","02/03/2026","86562,3"
"Genesis","Genesis","GEN 42","GEN 42","GEN 42","UNIT","GEN_42","","1,941165017","02/03/2026","124821,3"
"Genesis","Genesis","GEN 43","GEN 43","GEN 43","UNIT","GEN_43","","0,928262329","02/03/2026","57407,1"
"Genesis","Genesis","GEN 44","GEN 44","GEN 44","UNIT","GEN_44","","0,946144095","02/03/2026","37955,5"
"Genesis","Genesis","GEN 45","GEN 45","GEN 45","UNIT","GEN_45","","0,98170894","02/03/2026","74892,3"
"Genesis","Genesis","GEN 46","GEN 46","GEN 46","UNIT","GEN_46","","0,946144095","02/03/2026","57855,7"
"Genesis","Genesis","GEN 47","GEN 47","GEN 47","UNIT","GEN_47","","0,892498798","02/03/2026","57142,5"
"Genesis","Genesis","GEN 48","GEN 48","GEN 48","UNIT","GEN_48","","1,76711583","02/03/2026","93805,3"
"Genesis","Genesis","GEN 49","GEN 49","GEN 49","UNIT","GEN_49","","1,642142156","02/03/2026","111140,3"
"Genesis","Genesis","GEN 50","GEN 50","GEN 50","UNIT","GEN_50","","1,695787453","02/03/2026","103371,6"
"Genesis","Genesis","GEN 51","GEN 51","GEN 51","UNIT","GEN_51","","1,713669219","02/03/2026","98527,4"
"Genesis","Genesis","GEN 52","GEN 52","GEN 52","UNIT","GEN_52","","1,660023922","02/03/2026","120357,8"
"Genesis","Genesis","GEN 53","GEN 53","GEN 53","UNIT","GEN_53","","2,088590241","02/03/2026","126857,1"
"Genesis","Genesis","GEN 54","GEN 54","GEN 54","UNIT","GEN_54","","2,177800384","02/03/2026","126314,1"
"Genesis","Genesis","GEN 55","GEN 55","GEN 55","UNIT","GEN_55","","1,695787453","02/03/2026","101313,4"
"Genesis","Genesis","GEN 56","GEN 56","GEN 56","UNIT","GEN_56","","2,338338903","02/03/2026","109867,6"
"Genesis","Genesis","GEN 57","GEN 57","GEN 57","UNIT","GEN_57","","1,142446146","02/03/2026","64032,2"
"Genesis","Genesis","GEN 58","GEN 58","GEN 58","UNIT","GEN_58","","1,713669219","02/03/2026","73139,5"
"Genesis","Genesis","GEN 59","GEN 59","GEN 59","UNIT","GEN_59","","1,749432751","02/03/2026","61290,9"
"Genesis","Genesis","GEN 60","GEN 60","GEN 60","UNIT","GEN_60","","1,624459077","02/03/2026","102149,5"
"Genesis","Genesis","GEN 61","GEN 61","GEN 61","UNIT","GEN_61","","1,713669219","02/03/2026","78877"
"Genesis","Genesis","GEN 62","GEN 62","GEN 62","UNIT","GEN_62","","1,713669219","02/03/2026","106275,2"
"Genesis","Genesis","GEN 63","GEN 63","GEN 63","UNIT","GEN_63","","2,159918618","02/03/2026","108103,8"
"Genesis","Genesis","Bulk 1","Bulk 1",,"BULK","Bulk_1","",,"2021/05/31","68575"
"Genesis","Genesis","Com 1","Com 1",,"COMMON","Com_1","",,"02/03/2026","65836"
"Genesis","Genesis","Com 2","Com 2",,"COMMON","Com_2","",,"02/03/2026","140339"
"Genesis","Genesis","Com 3","Com 3",,"COMMON","Com_3","",,"02/03/2026","6315"
"Genesis","Genesis","Com 4","Com 4",,"COMMON","Com_4","",,"02/03/2026","85"
"Genesis","Genesis","Com 7","Com 7",,"COMMON","Com_7","",,"#########","7"
"Genesis","Genesis","Com 8","Com 8",,"COMMON","Com_8","",,"#########","194"
"Carissa Lane","Carissa Lane","CL 01","CL 01","CL 01","UNIT","CL_01","","2,772","2026/03/05","10094"
"Carissa Lane","Carissa Lane","CL 02","CL 02","CL 02","UNIT","CL_02","","3,7556","2026/03/05","38843"
"Carissa Lane","Carissa Lane","CL 03","CL 03","CL 03","UNIT","CL_03","","4,8285","2026/03/05","53507"
"Carissa Lane","Carissa Lane","CL 04","CL 04","CL 04","UNIT","CL_04","","2,8017","2026/03/05","19024"
"Carissa Lane","Carissa Lane","CL 05A","CL 05A","CL 05A","UNIT","CL_05A","","2,7422","2026/03/05","99940"
"Carissa Lane","Carissa Lane","CL 06A","CL 06A","CL 06A","UNIT","CL_06A","","3,7854","2026/03/05","33073"
"Carissa Lane","Carissa Lane","CL 07","CL 07","CL 07","UNIT","CL_07","","3,7556","2026/03/05","24904"
"Carissa Lane","Carissa Lane","CL 08A","CL 08A","CL 08A","UNIT","CL_08A","","3,7556","2026/03/05","88728"
"Carissa Lane","Carissa Lane","CL 09","CL 09","CL 09","UNIT","CL_09","","3,7556","2026/03/05","29180"
"Carissa Lane","Carissa Lane","CL 10","CL 10","CL 10","UNIT","CL_10","","3,696","2026/03/05","73270"
"Carissa Lane","Carissa Lane","CL 11","CL 11","CL 11","UNIT","CL_11","","3,7556","2026/03/05","57526"
"Carissa Lane","Carissa Lane","CL 12","CL 12","CL 12","UNIT","CL_12","","2,7422","2026/03/05","37015"
"Carissa Lane","Carissa Lane","CL 13B","CL 13B","CL 13B","UNIT","CL_13B","","2,5335","2026/03/05","17703"
