"scheme_name","source_sheet","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading","latest_reading_date","history_points"
"Queensgate","Queensgate","QG 39","QG 39","UNIT","QG_39","","1,8868","30480","2026/03/05","98"
"Queensgate","Queensgate","QG 40","QG 40","UNIT","QG_40","","1,8868","45700","2026/03/05","98"
"Queensgate","Queensgate","QG 41","QG 41","UNIT","QG_41","","1,8868","37982","2026/03/05","98"
"Queensgate","Queensgate","QG 42","QG 42","UNIT","QG_42","","1,8868","2042","2026/03/05","98"
"Queensgate","Queensgate","QG 43","QG 43","UNIT","QG_43","","1,8868","16895","2026/03/05","98"
"Queensgate","Queensgate","QG 44","QG 44","UNIT","QG_44","","1,8868","38898","2026/03/05","98"
"Queensgate","Queensgate","QG 45","QG 45","UNIT","QG_45","","1,8868","36213","2026/03/05","98"
"Queensgate","Queensgate","QG 46","QG 46","UNIT","QG_46","","1,8868","31267","2026/03/05","98"
"Queensgate","Queensgate","QG 47","QG 47","UNIT","QG_47","","1,8868","32712","2026/03/05","98"
"Queensgate","Queensgate","QG 48","QG 48","UNIT","QG_48","","1,8868","45010","2026/03/05","98"
"Queensgate","Queensgate","QG 49","QG 49","UNIT","QG_49","","1,8868","29881","2026/03/05","98"
"Queensgate","Queensgate","QG 50","QG 50","UNIT","QG_50","","1,8868","30149","2026/03/05","98"
"Queensgate","Queensgate","QG 51","QG 51","UNIT","QG_51","","1,8868","24562","2026/03/05","98"
"Queensgate","Queensgate","QG 52","QG 52","UNIT","QG_52","","1,8868","13839","2026/03/05","98"
"Queensgate","Queensgate","QG 53","QG 53","UNIT","QG_53","","1,8868","39834","2026/03/05","98"
"Queensgate","Queensgate","Bulk 1",,"BULK","Bulk_1","",,"992655","2026/03/05","98"
"Rivonia Gate","Rivonia Gate","RG 01","RG 01","UNIT","RG_01","","6,7154","909488","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 02A","RG 02A","UNIT","RG_02A","","6,1738","339369","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 03","RG 03","UNIT","RG_03","","4,5221","347395","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 04","RG 04","UNIT","RG_04","","8,6921","5107","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 05","RG 05","UNIT","RG_05","","6,0655","0","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 06","RG 06","UNIT","RG_06","","6,7154","417773","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 07A","RG 07A","UNIT","RG_07A","","4,5221","192165","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 08","RG 08","UNIT","RG_08","","8,9087","0","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 09","RG 09","UNIT","RG_09","","6,8508","194503","2026/03/01","98"
"Rivonia Gate","Rivonia Gate","RG 10A","RG 10A","UNIT","RG_10A","","6,1738","5142","2026/03/01","98"
