scheme_name,source_sheet,legacy_label,meter_type,reading_label,reading_date_note,reading_value,previous_reading_value,consumption
Akasia,Akasia,AK 47 / FL 45,UNIT,2024-05-21 00:00:00,unparseable-date,24.61,22.52,2.09
Akasia,Akasia,AK 47 / FL 45,UNIT,2024-10-21 00:00:00,missing-date,0.0,110.2,999889.8
Akasia,Akasia,AK 48 / FL 44,UNIT,2024-05-21 00:00:00,unparseable-date,110.52,117.92,999992.6
Akasia,Akasia,AK 48 / FL 44,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 49 / FL 43,UNIT,2024-05-21 00:00:00,unparseable-date,18.51,16.42,2.09
Akasia,Akasia,AK 49 / FL 43,UNIT,2024-10-21 00:00:00,missing-date,0.0,7.94,999992.06
Akasia,Akasia,AK 50 / FL 42,UNIT,2024-05-21 00:00:00,unparseable-date,26.3,23.03,3.2699999999999996
Akasia,Akasia,AK 50 / FL 42,UNIT,2024-10-21 00:00:00,missing-date,0.0,24.34,999975.66
Akasia,Akasia,AK 51 / FL 41,UNIT,2024-05-21 00:00:00,unparseable-date,152.32,169.32,999983.0
Akasia,Akasia,AK 51 / FL 41,UNIT,2024-10-21 00:00:00,missing-date,0.0,96.35,9903.65
Akasia,Akasia,AK 52 / FL 416,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 52 / FL 416,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 53 / FL 417,UNIT,2024-05-21 00:00:00,unparseable-date,10.02,0.39,9.629999999999999
Akasia,Akasia,AK 53 / FL 417,UNIT,2024-10-21 00:00:00,missing-date,0.0,52.61,999947.39
Akasia,Akasia,AK 54 / FL 418,UNIT,2024-05-21 00:00:00,unparseable-date,68.67,74.19,999994.48
Akasia,Akasia,AK 54 / FL 418,UNIT,2024-10-21 00:00:00,missing-date,0.0,13.15,999986.85
Akasia,Akasia,AK 55 / FL 419,UNIT,2024-05-21 00:00:00,unparseable-date,16.26,9.57,6.690000000000001
Akasia,Akasia,AK 55 / FL 419,UNIT,2024-10-21 00:00:00,missing-date,0.0,6.34,999993.66
Akasia,Akasia,AK 56 / FL 420,UNIT,2024-05-21 00:00:00,unparseable-date,27.12,21.67,5.449999999999999
Akasia,Akasia,AK 56 / FL 420,UNIT,2024-10-21 00:00:00,missing-date,0.0,20.2,999979.8
Akasia,Akasia,AK 57 / FL 412,UNIT,2024-05-21 00:00:00,unparseable-date,8.07,4.34,3.7300000000000004
Akasia,Akasia,AK 57 / FL 412,UNIT,2024-10-21 00:00:00,missing-date,0.0,23.18,999976.82
Akasia,Akasia,AK 58 / FL 413,UNIT,2024-05-21 00:00:00,unparseable-date,6.31,2.07,4.24
Akasia,Akasia,AK 58 / FL 413,UNIT,2024-10-21 00:00:00,missing-date,0.0,48.07,999951.93
Akasia,Akasia,AK 59 / FL 414,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 59 / FL 414,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 60 / FL 415,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 60 / FL 415,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 61 / FL 56,UNIT,2024-05-21 00:00:00,unparseable-date,11.48,7.92,3.5600000000000005
Akasia,Akasia,AK 61 / FL 56,UNIT,2024-10-21 00:00:00,missing-date,0.0,9.3,90.7
Akasia,Akasia,AK 62 / FL 55,UNIT,2024-05-21 00:00:00,unparseable-date,6.26,12.26,999994.0
Akasia,Akasia,AK 62 / FL 55,UNIT,2024-10-21 00:00:00,missing-date,0.0,36.1,999963.9
Akasia,Akasia,AK 63 / FL 54,UNIT,2024-05-21 00:00:00,unparseable-date,28.51,35.5,999993.01
Akasia,Akasia,AK 63 / FL 54,UNIT,2024-10-21 00:00:00,missing-date,0.0,13.1,999986.9
Akasia,Akasia,AK 64 / FL 53,UNIT,2024-05-21 00:00:00,unparseable-date,10.26,8.9,1.3599999999999994
Akasia,Akasia,AK 64 / FL 53,UNIT,2024-10-21 00:00:00,missing-date,0.0,92.41,9907.59
Akasia,Akasia,AK 65 / FL 52,UNIT,2024-05-21 00:00:00,unparseable-date,6.26,2.48,3.78
Akasia,Akasia,AK 65 / FL 52,UNIT,2024-10-21 00:00:00,missing-date,0.0,10.1,999989.9
Akasia,Akasia,AK 66 / FL 51,UNIT,2024-05-21 00:00:00,unparseable-date,11.48,3.52,7.960000000000001
Akasia,Akasia,AK 66 / FL 51,UNIT,2024-10-21 00:00:00,missing-date,0.0,34.46,999965.54
Akasia,Akasia,AK 67 / FL 516,UNIT,2024-05-21 00:00:00,unparseable-date,61.3,56.12,5.18
Akasia,Akasia,AK 67 / FL 516,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.73,999973.27
Akasia,Akasia,AK 68 / FL 517,UNIT,2024-05-21 00:00:00,unparseable-date,42.61,34.21,8.399999999999999
Akasia,Akasia,AK 68 / FL 517,UNIT,2024-10-21 00:00:00,missing-date,0.0,65.26,999934.74
Akasia,Akasia,AK 69 / FL 518,UNIT,2024-05-21 00:00:00,unparseable-date,91.11,88.3,2.8100000000000023
Akasia,Akasia,AK 69 / FL 518,UNIT,2024-10-21 00:00:00,missing-date,0.0,104.08,999895.92
Akasia,Akasia,AK 70 / FL 519,UNIT,2024-05-21 00:00:00,unparseable-date,9.12,5.01,4.109999999999999
Akasia,Akasia,AK 70 / FL 519,UNIT,2024-10-21 00:00:00,missing-date,0.0,9.07,990.93
Akasia,Akasia,AK 71 / FL 520,UNIT,2024-05-21 00:00:00,unparseable-date,38.01,26.68,11.329999999999998
Akasia,Akasia,AK 71 / FL 520,UNIT,2024-10-21 00:00:00,missing-date,0.0,55.31,999944.69
Akasia,Akasia,AK 72 / FL 512,UNIT,2024-05-21 00:00:00,unparseable-date,9.36,6.26,3.0999999999999996
Akasia,Akasia,AK 72 / FL 512,UNIT,2024-10-21 00:00:00,missing-date,0.0,22.01,999977.99
Akasia,Akasia,AK 73 / FL 513,UNIT,2024-05-21 00:00:00,unparseable-date,53.75,48.75,5.0
Akasia,Akasia,AK 73 / FL 513,UNIT,2024-10-21 00:00:00,missing-date,0.0,29.57,999970.43
Akasia,Akasia,AK 74 / FL 514,UNIT,2024-05-21 00:00:00,unparseable-date,32.13,24.61,7.520000000000003
Akasia,Akasia,AK 74 / FL 514,UNIT,2024-10-21 00:00:00,missing-date,0.0,31.59,999968.41
Akasia,Akasia,AK 75 / FL 515,UNIT,2024-05-21 00:00:00,unparseable-date,5.08,9.13,999995.95
Akasia,Akasia,AK 75 / FL 515,UNIT,2024-10-21 00:00:00,missing-date,0.0,17.49,999982.51
Akasia,Akasia,AK 76 / FL 66,UNIT,2024-05-21 00:00:00,unparseable-date,8.7,7.18,1.5199999999999996
Akasia,Akasia,AK 76 / FL 66,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.72,999973.28
Akasia,Akasia,AK 77 / FL 65,UNIT,2024-05-21 00:00:00,unparseable-date,2.1,5.0,999997.1
Akasia,Akasia,AK 77 / FL 65,UNIT,2024-10-21 00:00:00,missing-date,0.0,11.03,999988.97
Akasia,Akasia,AK 78 / FL 64,UNIT,2024-05-21 00:00:00,unparseable-date,9.18,16.27,999992.91
Akasia,Akasia,AK 78 / FL 64,UNIT,2024-10-21 00:00:00,missing-date,0.0,9.1,90.9
Akasia,Akasia,AK 79 / FL 63,UNIT,2024-05-21 00:00:00,unparseable-date,21.27,26.32,999994.95
Akasia,Akasia,AK 79 / FL 63,UNIT,2024-10-21 00:00:00,missing-date,0.0,39.72,999960.28
Akasia,Akasia,AK 80A / FL 62,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 80A / FL 62,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 80B / FL 61,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 80B / FL 61,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 81 / FL 616,UNIT,2024-05-21 00:00:00,unparseable-date,5.17,0.32,4.85
Akasia,Akasia,AK 81 / FL 616,UNIT,2024-10-21 00:00:00,missing-date,0.0,4.32,999995.68
Akasia,Akasia,AK 82 / FL 617,UNIT,2024-05-21 00:00:00,unparseable-date,36.11,33.95,2.1599999999999966
Akasia,Akasia,AK 82 / FL 617,UNIT,2024-10-21 00:00:00,missing-date,0.0,27.68,999972.32
Akasia,Akasia,AK 83 / FL 618,UNIT,2024-05-21 00:00:00,unparseable-date,2.19,4.51,999997.68
Akasia,Akasia,AK 83 / FL 618,UNIT,2024-10-21 00:00:00,missing-date,0.0,19.38,999980.62
Akasia,Akasia,AK 84 / FL 619,UNIT,2024-05-21 00:00:00,unparseable-date,5.12,7.8,999997.32
Akasia,Akasia,AK 84 / FL 619,UNIT,2024-10-21 00:00:00,missing-date,0.0,60.29,999939.71
Akasia,Akasia,AK 85 / FL 620,UNIT,2024-05-21 00:00:00,unparseable-date,13.55,3.55,10.0
Akasia,Akasia,AK 85 / FL 620,UNIT,2024-10-21 00:00:00,missing-date,0.0,41.11,999958.89
Akasia,Akasia,AK 86 / FL 612,UNIT,2024-05-21 00:00:00,unparseable-date,21.55,45.55,999976.0
Akasia,Akasia,AK 86 / FL 612,UNIT,2024-10-21 00:00:00,missing-date,0.0,31.64,999968.36
Akasia,Akasia,AK 87 / FL 613,UNIT,2024-05-21 00:00:00,unparseable-date,41.31,35.31,6.0
Akasia,Akasia,AK 87 / FL 613,UNIT,2024-10-21 00:00:00,missing-date,0.0,21.31,999978.69
Akasia,Akasia,AK 88 / FL 614,UNIT,2024-05-21 00:00:00,unparseable-date,61.24,56.45,4.789999999999999
Akasia,Akasia,AK 88 / FL 614,UNIT,2024-10-21 00:00:00,missing-date,0.0,18.34,999981.66
Akasia,Akasia,AK 89 / FL 615,UNIT,2024-05-21 00:00:00,unparseable-date,16.55,0.24,16.310000000000002
Akasia,Akasia,AK 89 / FL 615,UNIT,2024-10-21 00:00:00,missing-date,0.0,11.01,999988.99
Akasia,Akasia,Tower,UNIT,2024-05-21 00:00:00,unparseable-date,11825.0,11660.0,165.0
